"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"JaMycal Hasty","SF","15.1","77.8","0.4","2.0","13.7","0.1","0.0","12.3"
"Travis Homer","SEA","15.5","65.6","0.3","4.1","30.4","0.1","0.1","11.8"
"Ty Montgomery","NO","11.5","41.0","0.0","10.0","73.9","0.0","0.0","11.7"
"Ke'Shawn Vaughn","TB","15.0","63.8","0.5","2.3","16.5","0.1","0.0","11.6"
"Jordan Wilkins","IND","14.4","70.3","0.4","1.7","12.6","0.1","0.0","11.4"
"D'Ernest Johnson","CLE","17.9","76.5","0.3","2.3","17.1","0.0","0.1","11.4"
"Trey Edmunds","PIT","14.8","64.0","0.4","2.4","16.1","0.2","0.0","11.3"
"Royce Freeman","DEN","14.3","59.9","0.4","3.3","20.5","0.1","0.0","11.0"
"D'Onta Foreman","ATL","16.8","69.6","0.5","1.6","12.5","0.0","0.2","10.8"
"Alec Ingold","LV","4.4","18.8","0.2","6.6","54.5","0.3","0.1","9.9"
"Patrick Ricard","BAL","0.9","1.4","0.0","8.8","58.4","0.8","0.5","9.8"
"C.J. Ham","MIN","4.7","19.9","0.2","5.9","49.7","0.3","0.1","9.6"
"Kene Nwangwu","MIN","16.3","65.7","0.2","2.4","17.8","0.0","0.0","9.5"
"Alex Collins","SEA","12.5","52.5","0.5","1.4","10.7","0.1","0.2","9.3"
"Khalil Herbert","CHI","9.7","40.3","0.3","2.8","22.0","0.1","0.1","8.3"
"Corey Clement","NYG","10.7","44.9","0.4","1.6","12.2","0.0","0.1","8.3"
"Andrew Beck","DEN","4.9","21.2","0.2","4.3","29.2","0.2","0.0","7.1"
"Alex Armah","NO","4.2","17.4","0.2","4.1","33.3","0.2","0.1","7.0"
"Gary Brightwell","NYG","12.0","52.4","0.1","1.5","11.0","0.0","0.0","6.8"
"Buddy Howell","HOU","4.0","17.3","0.2","4.1","29.3","0.2","0.0","6.7"
"Gabe Nabers","LAC","3.3","14.4","0.1","3.2","25.0","0.2","0.1","5.8"
"Keith Smith","ATL","3.3","13.8","0.1","3.3","25.7","0.2","0.1","5.5"
"Ito Smith","MIN","4.6","19.6","0.2","2.1","13.6","0.2","0.0","5.4"
"Kalen Ballage","PIT","7.0","27.8","0.2","1.7","11.7","0.0","0.1","5.3"
"Devine Ozigbo","JAC","4.7","20.1","0.1","2.7","20.1","0.1","0.1","5.1"
"Andy Janovich","CLE","1.0","4.3","0.0","4.0","33.5","0.2","0.0","4.9"
"Darwin Thompson","KC","6.6","26.1","0.1","1.8","13.8","0.0","0.0","4.8"
"Trenton Cannon","CAR","4.1","17.1","0.1","2.5","19.2","0.1","0.0","4.7"
"Ben Mason","BAL","0.0","0.0","0.0","3.5","27.7","0.2","0.0","4.2"
"Derek Watt","PIT","4.3","18.1","0.2","1.2","8.7","0.1","0.0","4.0"
"Nick Bellore","SEA","1.5","6.6","0.0","3.1","22.3","0.2","0.0","4.0"
"Michael Burton","KC","3.3","14.0","0.1","1.8","14.8","0.1","0.0","3.9"
"Antonio Williams","BUF","4.2","18.1","0.1","0.4","3.2","0.0","0.0","2.8"
"Elijhaa Penny","NYG","2.5","10.2","0.1","1.5","10.9","0.0","0.0","2.7"
"Khari Blasingame","TEN","0.5","2.1","0.0","2.3","19.3","0.1","0.0","2.7"
"Jakob Johnson","NE","0.0","0.0","0.0","2.2","18.9","0.1","0.0","2.2"
"Dexter Williams","GB","3.2","13.6","0.1","0.4","3.1","0.0","0.0","2.0"
"Jonathan Williams","WAS","2.3","9.8","0.0","0.9","7.0","0.0","0.0","1.7"
"Tony Brooks-James","PIT","2.3","9.8","0.0","0.9","6.3","0.0","0.0","1.6"
"Dontrell Hilliard","HOU","1.7","7.1","0.0","0.9","6.4","0.0","0.0","1.4"
"Taiwan Jones","BUF","1.1","4.7","0.0","0.9","7.1","0.0","0.0","1.2"
"Patrick Laird","MIA","1.3","5.7","0.0","0.9","5.5","0.0","0.0","1.1"
"Elijah McGuire","KC","0.9","3.5","0.0","0.9","7.2","0.0","0.0","1.1"
"Josh Adams","NYJ","1.1","4.6","0.0","0.9","6.0","0.0","0.0","1.1"
"C.J. Prosise","TB","0.9","3.6","0.0","1.0","7.0","0.0","0.0","1.1"
"Ryan Nall","CHI","0.9","3.9","0.0","0.9","6.2","0.0","0.0","1.0"
"LeVante Bellamy","DEN","1.0","4.4","0.0","0.9","5.7","0.0","0.0","1.0"
"Artavis Pierce","CHI","0.9","3.9","0.0","0.9","6.2","0.0","0.0","1.0"
"Dwayne Washington","NO","0.9","3.8","0.0","0.9","6.2","0.0","0.0","1.0"
"Adrian Killins Jr.","DEN","0.9","3.9","0.0","0.9","6.1","0.0","0.0","1.0"
"Nathan Cottrell","JAC","0.9","3.6","0.0","0.9","6.4","0.0","0.0","1.0"
"Jason Huntley","PHI","0.9","3.9","0.0","0.9","6.1","0.0","0.0","1.0"
"Damarea Crockett","DEN","1.0","4.2","0.0","0.9","5.7","0.0","0.0","1.0"
"Austin Walter","NYJ","0.9","3.6","0.0","0.9","6.3","0.0","0.0","1.0"
"Jason Cabinda","DET","0.8","3.5","0.0","1.0","6.1","0.0","0.0","1.0"
"Scottie Phillips","HOU","0.8","3.5","0.0","0.9","6.1","0.0","0.0","1.0"
"Jordan Scarlett","MIA","0.9","3.9","0.0","0.9","5.3","0.0","0.0","0.9"
"Taquan Mizzell","NYG","0.9","3.7","0.0","0.9","5.4","0.0","0.0","0.9"
"Cullen Gillaspia","NYG","0.9","3.7","0.0","0.9","5.2","0.0","0.0","0.9"
"Alfred Morris","NYG","0.9","3.5","0.0","0.9","5.2","0.0","0.0","0.9"
""
""
