"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"114",10,"Tyler Davis",JAC,"7"," 4.4","-","-","-"
"115",10,"Sammis Reyes",WAS,"9","-","-","-","-"
"116",10,"Caleb Wilson",WAS,"9"," 5.2","-","-1.4","0% (0/8)"
"117",10,"Ben Ellefson",JAC,"7","-","-","-","-"
"118",10,"Matt LaCosse",NE,"14","-","-","-","-"
"119",10,"Matt Sokol",LAC,"7","-","-","-","-"
"120",10,"Austin Fort",DEN,"11"," 8.6","-","-","-"
"121",10,"Tommy Hudson",TEN,"13","-","-","-","-"
"122",10,"Jesper Horsted",CHI,"10","-","-","-0.2","0% (0/4)"
"123",10,"Andrew Beck",DEN,"11","-","-","-1.0","0% (0/13)"
"124",10,"Noah Togiai",IND,"14","-","-","-","-"
"125",11,"Dominique Dafney",GB,"13","-","-","-","-"
"126",11,"J.P. Holtz",CHI,"10"," 2.0","-","-0.6","0% (0/16)"
"127",11,"Tanner Hudson",TB,"9"," 4.0","-","+0.4","28% (2/7)"
