"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"151",11,"Khari Blasingame",TEN,"13"," 5.4","-","-0.3","21% (3/14)"
"152",11,"Trey Ragas",LV,"8"," 6.2","-","-","-"
"153",11,"Elijhaa Penny",NYG,"10"," 2.2","-","0.0","25% (3/12)"
"154",11,"Josh Adams",NYJ,"6"," 6.0","-","0.0","25% (4/16)"
"155",11,"Jacques Patrick",CIN,"10"," 6.4","-","-","-"
"156",11,"Ben Mason",BAL,"8"," 7.0","-","-","-"
"157",11,"Andy Janovich",CLE,"13"," 8.2","-","-0.9","0% (0/14)"
"158",11,"T.J. Yeldon",FA,"-"," 5.4","-","+0.8","16% (1/6)"
"159",11,"Caleb Huntley",ATL,"6"," 2.2","-","-","-"
"160",11,"Tony Brooks-James",PIT,"7"," 2.0","-","-0.7","0% (0/6)"
"161",11,"Patrick Taylor Jr.",GB,"13"," 3.6","-","-","-"
"162",11,"Michael Burton",KC,"12"," 7.2","-","+0.1","28% (4/14)"
"163",11,"Rodney Smith",CAR,"13"," 1.8","-","-","-"
"164",11,"Elijah McGuire",KC,"12"," 7.2","-","-0.7","0% (0/7)"
"165",11,"Dexter Williams",GB,"13"," 3.6","-","-1.9","0% (0/3)"
"166",11,"Keith Smith",ATL,"6"," 4.8","-","0.0","42% (6/14)"
"167",11,"Johnny Stanton",CLE,"13"," 8.2","-","-","-"
"168",11,"Bo Scarbrough",LV,"8"," 2.0","-","-0.3","25% (1/4)"
"169",11,"Lamar Miller",WAS,"9"," 5.0","-","-1.7","0% (0/4)"
"170",11,"Reggie Gilliam",BUF,"7"," 4.6","-","-1.1","15% (2/13)"
"171",11,"Troymaine Pope",TB,"9"," 1.2","-","-1.4","0% (0/7)"
"172",11,"Dedrick Mills",DET,"9"," 3.4","-","-","-"
"173",11,"Cullen Gillaspia",NYG,"10"," 2.2","-","0.0","16% (1/6)"
"174",11,"Brenden Knox",DAL,"7"," 4.0","-","-","-"
"175",11,"Dontrell Hilliard",HOU,"10"," 4.8","-","-1.0","18% (2/11)"
"176",11,"Darius Bradwell",LAC,"7"," 9.0","-","-","-"
"177",12,"Jason Huntley",PHI,"14"," 4.4","-","-1.1","0% (0/7)"
"178",12,"Ty'Son Williams",BAL,"8"," 7.0","-","-","-"
"179",12,"Dwayne Washington",NO,"6"," 3.4","-","-0.2","10% (1/10)"
"180",12,"Alfred Morris",NYG,"10","-","-","+1.2","50% (4/8)"
"181",12,"Tavien Feaster",ARI,"12"," 4.6","-","-","-"
"182",12,"Buddy Howell",HOU,"10"," 4.0","-","-0.5","7% (1/13)"
"183",12,"DeAndre Washington",FA,"-"," 7.0","-","-2.7","25% (1/4)"
"184",12,"C.J. Prosise",TB,"9"," 1.2","-","-0.9","10% (1/10)"
"185",12,"Damarea Crockett",DEN,"11"," 7.2","-","-0.1","0% (0/2)"
"186",12,"Ryan Nall",CHI,"10"," 6.2","-","-0.5","7% (1/14)"
"187",12,"Rakeem Boyd",FA,"-","-","-","-","-"
"188",12,"Alex Armah",NO,"6"," 3.4","-","-0.8","12% (2/16)"
"189",12,"Corey Taylor II",CLE,"13","-","-","-","-"
"190",12,"Jordan Scarlett",MIA,"14"," 5.4","-","-0.5","0% (0/1)"
"191",12,"Artavis Pierce",CHI,"10"," 6.2","-","-0.2","11% (1/9)"
"192",12,"Tre Harbison",CLE,"13"," 8.4","-","-","-"
"193",12,"Nate McCrary",BAL,"8"," 7.0","-","-","-"
"194",12,"Jonathan Williams",WAS,"9"," 5.0","-102","-1.2","0% (0/4)"
"195",12,"JaQuan Hardy",DAL,"7"," 4.0","-","-","-"
"196",12,"Sandro Platzgummer",NYG,"10"," 2.2","-","-","-"
"197",12,"Craig Reynolds",DET,"9","-","-","-","-"
"198",12,"John Kelly",CLE,"13"," 8.4","-","-","-"
"199",12,"Austin Walter",NYJ,"6"," 5.8","-","-1.4","0% (0/1)"
"200",12,"Taiwan Jones",BUF,"7"," 4.6","-","-0.6","0% (0/13)"
"201",12,"Javon Leake",DET,"9","-","-","-0.7","0% (0/4)"
"202",12,"Derrick Gore",KC,"12"," 7.4","-","-","-"
"203",12,"Nathan Cottrell",JAC,"7"," 6.2","-","-0.9","0% (0/5)"
"204",12,"Benny LeMay",IND,"14","-","-","-","-"
"205",12,"Mekhi Sargent",TEN,"13"," 5.4","-","-","-"
"206",12,"Deon Jackson",IND,"14"," 6.2","-","-","-"
"207",12,"Darius Anderson",IND,"14"," 6.2","-","-","-"
"208",12,"Josh Johnson",SEA,"9"," 2.0","-","-","-"
"209",12,"Derek Watt",PIT,"7"," 8.2","-","-0.4","0% (0/13)"
"210",12,"Trey Edmunds",PIT,"7"," 8.2","-","-1.1","0% (0/1)"
"211",12,"Scottie Phillips",HOU,"10"," 4.8","-","-0.1","20% (1/5)"
"212",12,"Adrian Killins Jr.",DEN,"11"," 4.4","-","-0.5","0% (0/1)"
